image,expected,predicted,correct
6cm6m.png,6cm6m,6cmmm,False
4nnf3.png,4nnf3,4nnf3,True
2nx38.png,2nx38,2nx38,True
2xc2n.png,2xc2n,2xc2n,True
7mgmf.png,7mgmf,7mgmf,True
7nnnx.png,7nnnx,7nnnx,True
5ywwf.png,5ywwf,5ywwf,True
5nm6d.png,5nm6d,5nn6d,False
7fmcy.png,7fmcy,7fmcy,True
2gyb6.png,2gyb6,2gyb6,True
6wg4n.png,6wg4n,6wg4n,True
2mg87.png,2mg87,2mg87,True
3n7mx.png,3n7mx,3n7mx,True
6bdn5.png,6bdn5,6bdn5,True
4cfw8.png,4cfw8,4cfw8,True
5bg8f.png,5bg8f,5bg8f,True
6m5eg.png,6m5eg,6wd6g,False
4n2yg.png,4n2yg,4n2yg,True
7d44m.png,7d44m,7d44m,True
6fg8c.png,6fg8c,6fg8c,True
5yxgp.png,5yxgp,5yxgp,True
2pfpn.png,2pfpn,2pfpn,True
3p67n.png,3p67n,3p67n,True
5np4m.png,5np4m,5np4m,True
5nnff.png,5nnff,5nnff,True
6bnnm.png,6bnnm,6bnnm,True
7g3nf.png,7g3nf,7g3nf,True
2nbcx.png,2nbcx,2nbcx,True
2w4y7.png,2w4y7,2w4y7,True
3ym7f.png,3ym7f,3yn7f,False
2p2y8.png,2p2y8,2p2y8,True
6mygb.png,6mygb,6mygb,True
3xcgg.png,3xcgg,3xcgg,True
7fde7.png,7fde7,7fde7,True
6f857.png,6f857,6f857,True
3eny7.png,3eny7,3eny7,True
5g5e5.png,5g5e5,5g5e5,True
7cdge.png,7cdge,7cdge,True
6f2yc.png,6f2yc,6f2yc,True
4fc36.png,4fc36,4fc36,True
5n728.png,5n728,5n728,True
4ycex.png,4ycex,4ycex,True
6n6gg.png,6n6gg,6n5gg,False
7dxbd.png,7dxbd,7dxbd,True
3n3cf.png,3n3cf,3n3cf,True
2en7g.png,2en7g,2en7g,True
5xd2e.png,5xd2e,5xd2e,True
7dgc2.png,7dgc2,7dgc2,True
7f8b3.png,7f8b3,7f8b3,True
3ndxd.png,3ndxd,3ndxd,True
5mf7c.png,5mf7c,5nn7c,False
6c3p5.png,6c3p5,6c3p5,True
2cgyx.png,2cgyx,2cgyx,True
4d22m.png,4d22m,4d22m,True
2g7nm.png,2g7nm,2g7nm,True
4exnn.png,4exnn,4exnn,True
7bwm2.png,7bwm2,7bwm2,True
6e554.png,6e554,6e554,True
6e2dg.png,6e2dg,6e2dg,True
6dmx7.png,6dmx7,6dmx7,True
3dgmf.png,3dgmf,3dgmf,True
2mpnn.png,2mpnn,2mpnn,True
5p8fm.png,5p8fm,5p8fm,True
2n73f.png,2n73f,2n73f,True
7m8px.png,7m8px,7m8px,True
6p2ge.png,6p2ge,6p2ge,True
6g45w.png,6g45w,6g45w,True
5mcy7.png,5mcy7,5mcy7,True
2enf4.png,2enf4,2enf4,True
6bxwg.png,6bxwg,6bxwg,True
7gp47.png,7gp47,7gm47,False
6ydyp.png,6ydyp,6ydyp,True
3nfdn.png,3nfdn,3nfdn,True
4nc37.png,4nc37,4nc37,True
6ecbn.png,6ecbn,6ecbn,True
7dwx4.png,7dwx4,7dwx4,True
5mfff.png,5mfff,5mfff,True
6xpme.png,6xpme,6xpme,True
5npdn.png,5npdn,5npdn,True
3x5fm.png,3x5fm,5x3fm,False
4m2w5.png,4m2w5,4m2w5,True
6pwcn.png,6pwcn,6pwcm,False
3nnpw.png,3nnpw,3nnpw,True
6n5fd.png,6n5fd,6n5fd,True
5bgp2.png,5bgp2,5bgp2,True
3ye2e.png,3ye2e,3ye2e,True
7dyww.png,7dyww,7dyww,True
6ng6n.png,6ng6n,6ng6n,True
4c8n8.png,4c8n8,4c8n8,True
6c3n6.png,6c3n6,6c3n6,True
2fxgd.png,2fxgd,2fxgd,True
3b4we.png,3b4we,3b4we,True
3n2b4.png,3n2b4,3n2b4,True
6fgdw.png,6fgdw,6fgdw,True
3ygde.png,3ygde,8ygde,False
7b4bm.png,7b4bm,7b4bm,True
3ebpw.png,3ebpw,3dbpw,False
4egem.png,4egem,4egem,True
6b46g.png,6b46g,6b46g,True
5f3gf.png,5f3gf,5mxyf,False
